Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,432013312,103095992320,238,0.329523,1220.99,312864
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,432013312,103095992320,238,0.329523,1220.99,312864
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,432013312,103095992320,238,0.327846,1227.23,314465
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,432013312,103095992320,238,0.327866,1227.16,314446
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,432013312,103095992320,238,0.178156,2258.39,578685
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,432013312,103095992320,238,0.178145,2258.52,578720
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,432013312,103095992320,238,0.178186,2258,578586
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,432013312,103095992320,238,0.178179,2258.09,578609
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,432013312,103095992320,238,0.102424,3928.23,1.00656e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_bf16_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144][4096x128x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,432013312,103095992320,238,0.102434,3927.85,1.00647e+06
