Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,2566914048,3092879769600,1204,3.9609,603.556,780853
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,2566914048,3092879769600,1204,3.92326,609.347,788345
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,1560281088,3092879769600,1982,3.8922,373.343,794636
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,1560281088,3092879769600,1982,3.94294,368.539,784410
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,2566914048,3092879769600,1204,2.602,918.765,1.18866e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,2566914048,3092879769600,1204,2.63476,907.341,1.17388e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,1560281088,3092879769600,1982,2.63496,551.479,1.17379e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,1560281088,3092879769600,1982,2.62861,552.811,1.17662e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,2566914048,3092879769600,1204,2.48455,962.198,1.24485e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x2817x6144][4096x1115x6144][4096x1323x6144][4096x1659x6144][4096x4060x6144][4096x15360x6144][4096x1096x6144][4096x1529x6144][4096x11093x6144][4096x1787x6144][4096x3948x6144][4096x6885x6144][4096x2826x6144][4096x968x6144][4096x3361x6144][4096x1613x6144]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,2566914048,3092879769600,1204,2.47867,964.48,1.2478e+06
