dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,1,1,M,-1,0,1033270.0,0.0,1033270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,1,1,M,-1,1,1029660.0000000001,0.0,1029660.0000000001,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1034869.9999999999,1047780.0,1047780.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1034869.9999999999,1047780.0,1047780.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1031349.9999999999,1049190.0,1049190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1031349.9999999999,1049190.0,1049190.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,849609.0,1061620.0,1061620.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,849609.0,1061620.0,1061620.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,2,M,-1,1,848233.0,1065960.0,1065960.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,2,2,M,-1,1,848233.0,1065960.0,1065960.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,4,2,M,-1,0,785132.0,1032460.0,1032460.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,4,2,M,-1,0,785132.0,1032460.0,1032460.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,uniform,341,342,341.3333333333333,4,2,M,-1,1,786039.0,1031140.0000000001,1031140.0000000001,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,uniform,341,342,341.3333333333333,4,2,M,-1,1,786039.0,1031140.0000000001,1031140.0000000001,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,1,1,M,-1,0,1003500.0,0.0,1003500.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,1,1,M,-1,1,1006800.0,0.0,1006800.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,0,1004630.0,1110440.0,1110440.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,0,1004630.0,1110440.0,1110440.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,1,1003980.0,1109670.0,1109670.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,1,M,-1,1,1003980.0,1109670.0,1109670.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,0,858389.0,847749.0,858389.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,0,858389.0,847749.0,847749.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,1,875985.0,847943.0,875985.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,2,2,M,-1,1,875985.0,847943.0,847943.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,0,815007.0,825839.0,825839.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,0,815007.0,825839.0,825839.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,1,822589.0,829776.0,829776.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,32768,imbalanced,85,1364,341.3333333333333,4,2,M,-1,1,822589.0,829776.0,829776.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,1,1,M,-1,0,1250230.0,0.0,1250230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,1,1,M,-1,1,1249130.0,0.0,1249130.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,1,M,-1,0,1248990.0,1488890.0,1488890.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,1,M,-1,0,1248990.0,1488890.0,1488890.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,1,M,-1,1,1249590.0,1492590.0,1492590.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,1,M,-1,1,1249590.0,1492590.0,1492590.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,2,M,-1,0,1203850.0,1184180.0,1203850.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,2,M,-1,0,1203850.0,1184180.0,1184180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,2,M,-1,1,1185850.0,1180430.0,1185850.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,2,2,M,-1,1,1185850.0,1180430.0,1180430.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,0,1079140.0,1132690.0,1132690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,0,1079140.0,1132690.0,1132690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1092010.0,1129880.0,1129880.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,uniform,682,683,682.6666666666666,4,2,M,-1,1,1092010.0,1129880.0,1129880.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,0,1262010.0,0.0,1262010.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,1,1,M,-1,1,1264980.0,0.0,1264980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1260740.0,1441420.0,1441420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,0,1260740.0,1441420.0,1441420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1263220.0,1443030.0,1443030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,1,M,-1,1,1263220.0,1443030.0,1443030.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1114260.0,1247750.0,1247750.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,0,1114260.0,1247750.0,1247750.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1145310.0,1246810.0,1246810.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,2,2,M,-1,1,1145310.0,1246810.0,1246810.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1037180.0000000001,1195600.0,1195600.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,0,1037180.0000000001,1195600.0,1195600.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1049480.0,1198420.0,1198420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,3072,5120,65536,imbalanced,170,2728,682.6666666666666,4,2,M,-1,1,1049480.0,1198420.0,1198420.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,1,1,M,-1,0,1008710.0,0.0,1008710.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,1,1,M,-1,1,1009140.0,0.0,1009140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1008710.0,1011530.0,1011530.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,0,1008710.0,1011530.0,1011530.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1009460.0,1019980.0,1019980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,1,M,-1,1,1009460.0,1019980.0,1019980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,821616.0,1077180.0,1077180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,2SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,0,821616.0,1077180.0,1077180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-bf16,1SM,4096,7168,32768,uniform,341,342,341.3333333333333,2,2,M,-1,1,821463.0,1078030.0,1078030.0,92_blackwell_moe_gemm_rcgrouped
