Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,403570688,3221749760,7,0.0676189,5558.43,47645.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,403570688,3221749760,7,0.0677626,5546.64,47544.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,403570688,3221749760,7,0.0648845,5792.67,49653.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,403570688,3221749760,7,0.0650794,5775.33,49504.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,403570688,3221749760,7,0.064383,5837.79,50040.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,403570688,3221749760,7,0.064127,5861.09,50240.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403570688,3221749760,7,0.0717149,5240.96,44924.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403570688,3221749760,7,0.0716941,5242.48,44937.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403570688,3221749760,7,0.124512,3018.61,25874.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x3x6144][4096x3x6144][4096x2x6144][4096x2x6144][4096x4x6144][4096x7x6144][4096x3x6144][4096x8x6144][4096x4x6144][4096x1x6144][4096x16x6144][4096x2x6144][4096x6x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403570688,3221749760,7,0.124574,3017.12,25862.1
