Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_nnn_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.837964,936.981,1.84547e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_nnn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.84717,926.799,1.82542e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ntn_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.833755,941.711,1.85479e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ntn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.824559,952.214,1.87548e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnn_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.82456,952.212,1.87547e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.810869,968.29,1.90714e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttn_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.789068,995.042,1.95983e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.8015,979.609,1.92943e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_nnt_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.848962,924.842,1.82156e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_nnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.84123,933.343,1.83831e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ntt_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.840903,933.706,1.83902e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ntt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.826301,950.206,1.87152e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.806424,973.627,1.91765e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.81261,966.215,1.90305e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.797966,983.947,1.93798e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.800127,981.289,1.93274e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_nnn_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.82149,955.771,1.88248e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_nnn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.813224,965.485,1.90162e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ntn_align16_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.817249,960.73,1.89225e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ntn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:column,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.811053,968.07,1.90671e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.749788,1047.17,2.0625e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.741442,1058.96,2.08572e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttn_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144][4096x1920x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,843055104,1546439884800,1834,0.740357,1060.51,2.08878e+06
