Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0400528,4686.65,10058
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0402576,4662.81,10006.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0402374,4665.15,10011.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0403603,4650.94,9981.33
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0393357,4772.1,10241.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0392541,4782.02,10262.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0395306,4748.57,10190.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0395635,4744.61,10182.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0390698,4804.58,10311
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0389571,4818.47,10340.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0389773,4815.98,10335.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0390387,4808.4,10319.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_2x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048][1x6144x2048]',,tensorop,f32,64,128,128,2,1,1,1,1,1,8,4,1,1,64,128,32,100,110,201555968,402849792,1,0.0542253,3461.74,7429.19
