Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,1082130432,1546943201280,1429,5.06485,198.982,305427
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,1082130432,1546943201280,1429,5.07004,198.778,305114
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,1082130432,1546943201280,1429,2.69258,374.292,574521
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,1082130432,1546943201280,1429,2.69547,373.891,573905
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,1082130432,1546943201280,1429,1.46339,688.682,1.05709e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,1082130432,1546943201280,1429,1.46412,688.341,1.05657e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,1082130432,1546943201280,1429,0.927759,1086.29,1.6674e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,1082130432,1546943201280,1429,0.917529,1098.4,1.68599e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,1082130432,1546943201280,1429,0.830817,1213.04,1.86195e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x7589x2048][6144x1157x2048][6144x2096x2048][6144x1041x2048][6144x3307x2048][6144x1057x2048][6144x7960x2048][6144x15360x2048][6144x1911x2048][6144x2287x2048][6144x6505x2048][6144x1440x2048][6144x1107x2048][6144x2191x2048][6144x4880x2048][6144x1552x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,1082130432,1546943201280,1429,0.820956,1227.61,1.88432e+06
