Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,14898167808,24743038156800,1660,35.8411,387.126,690354
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,14898167808,24743038156800,1660,35.9418,386.041,688419
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6845104128,24743038156800,3614,35.6536,178.804,693985
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6845104128,24743038156800,3614,35.7714,178.215,691699
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,14898167808,24743038156800,1660,24.9568,555.96,991434
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,14898167808,24743038156800,1660,24.9379,556.382,992185
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,6845104128,24743038156800,3614,24.9821,255.182,990429
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,6845104128,24743038156800,3614,25.0419,254.573,988064
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,14898167808,24743038156800,1660,21.6797,640.001,1.1413e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144][4096x30720x6144]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,14898167808,24743038156800,1660,21.727,638.605,1.13881e+06
