dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,1,1,M,-1,0,2577160.0,0.0,2577160.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,1,1,M,-1,1,2610380.0,0.0,2610380.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,2,1,M,-1,0,2581450.0,3163290.0,3163290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,2,1,M,-1,0,2581450.0,3163290.0,3163290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,2,1,M,-1,1,2608510.0,3175230.0,3175230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,2,1,M,-1,1,2608510.0,3175230.0,3175230.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,2,2,M,-1,0,2382410.0,3296140.0,3296140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,2,2,M,-1,0,2382410.0,3296140.0,3296140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,2,2,M,-1,1,2400410.0,3288640.0,3288640.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,2,2,M,-1,1,2400410.0,3288640.0,3288640.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,4,2,M,-1,0,2339880.0,3214070.0,3214070.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,4,2,M,-1,0,2339880.0,3214070.0,3214070.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,uniform,1920,1920,1920.0,4,2,M,-1,1,2363950.0,3242040.0,3242040.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,uniform,1920,1920,1920.0,4,2,M,-1,1,2363950.0,3242040.0,3242040.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,imbalanced,482,7680,1920.0,1,1,M,-1,0,2518290.0,0.0,2518290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,imbalanced,482,7680,1920.0,1,1,M,-1,1,2533290.0,0.0,2533290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,30720,imbalanced,482,7680,1920.0,2,1,M,-1,0,2518710.0,3169540.0,3169540.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,30720,imbalanced,482,7680,1920.0,2,1,M,-1,0,2518710.0,3169540.0,3169540.0,92_blackwell_moe_gemm_rcgrouped
