Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,406323200,12886999040,31,0.0776643,4872.48,165932
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,406323200,12886999040,31,0.0777053,4869.91,165845
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,406323200,12886999040,31,0.0656835,5761.23,196198
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,406323200,12886999040,31,0.0657651,5754.08,195955
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,406323200,12886999040,31,0.0653968,5786.49,197059
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,406323200,12886999040,31,0.0654886,5778.38,196782
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,406323200,12886999040,31,0.0723085,5233.38,178223
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,406323200,12886999040,31,0.0721651,5243.78,178577
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,406323200,12886999040,31,0.124717,3034.21,103330
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x6x6144][4096x38x6144][4096x12x6144][4096x4x6144][4096x4x6144][4096x5x6144][4096x4x6144][4096x13x6144][4096x6x6144][4096x53x6144][4096x11x6144][4096x9x6144][4096x11x6144][4096x64x6144][4096x9x6144][4096x7x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,406323200,12886999040,31,0.124645,3035.96,103390
