Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0703219,5338.69,22907.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0709162,5293.96,22715.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0733328,5119.5,21966.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0736195,5099.56,21881.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0715917,5244.01,22500.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0715917,5244.01,22500.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0708234,5300.9,22745
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.071039,5284.8,22675.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0679974,5521.2,23690.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144][2x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0678035,5536.99,23758
