Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,7449083904,24743038156800,3321,77.2135,89.8483,320450
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,7449083904,24743038156800,3321,77.2142,89.8475,320447
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,7449083904,24743038156800,3321,41.0676,168.929,602495
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,7449083904,24743038156800,3321,41.0765,168.892,602364
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,7449083904,24743038156800,3321,28.1382,246.551,879341
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,7449083904,24743038156800,3321,28.0938,246.94,880728
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,7449083904,24743038156800,3321,22.9108,302.805,1.07997e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,7449083904,24743038156800,3321,22.8556,303.536,1.08258e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,7449083904,24743038156800,3321,22.9595,302.163,1.07768e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x16946x6144][4096x122880x6144][4096x9010x6144][4096x32343x6144][4096x24830x6144][4096x8353x6144][4096x98293x6144][4096x8128x6144][4096x9675x6144][4096x78557x6144][4096x9625x6144][4096x11932x6144][4096x13410x6144][4096x9031x6144][4096x28299x6144][4096x10208x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,7449083904,24743038156800,3321,22.9012,302.932,1.08043e+06
