Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_0x0x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,2.15892,799.735,955102
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_0x0x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,2.16642,796.965,951794
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_0x0x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1048576000,2061986955264,1966,2.1955,444.802,939188
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_0x0x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1048576000,2061986955264,1966,2.17072,449.88,949909
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x1x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,2.1013,821.666,981293
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x1x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,2.10352,820.797,980255
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x1x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1048576000,2061986955264,1966,2.11181,462.428,976405
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x1x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1048576000,2061986955264,1966,2.1196,460.73,972820
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x2x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,1.98835,868.34,1.03703e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x2x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[5462x3072x5120][5462x3072x5120][5462x3072x5120][5462x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120][5461x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,1853882368,2061986955264,1112,1.98996,867.637,1.0362e+06
