dtype,n,k,tokens,exp,dist,min_m,max_m,avg_m,gflops,kernel
BF16,3072,5120,32768,24,uniform,1365,1366,1365.3333333333333,1796590.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,65536,24,uniform,2730,2731,2730.6666666666665,1955320.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,32768,24,uniform,1365,1366,1365.3333333333333,1703530.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,65536,24,uniform,2730,2731,2730.6666666666665,1911690.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,32768,24,uniform,1365,1366,1365.3333333333333,1774580.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,65536,24,uniform,2730,2731,2730.6666666666665,1942490.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,32768,24,uniform,1365,1366,1365.3333333333333,1752970.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,65536,24,uniform,2730,2731,2730.6666666666665,1944830.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,32768,48,uniform,682,683,682.6666666666666,1720300.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,65536,48,uniform,1365,1366,1365.3333333333333,1821460.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,32768,48,uniform,682,683,682.6666666666666,1615040.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,65536,48,uniform,1365,1366,1365.3333333333333,1722100.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,4096,7168,32768,48,uniform,682,683,682.6666666666666,1714310.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,65536,48,uniform,1365,1366,1365.3333333333333,1779210.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,7168,2048,32768,48,uniform,682,683,682.6666666666666,1675410.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,65536,48,uniform,1365,1366,1365.3333333333333,1763370.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,32768,96,uniform,341,342,341.3333333333333,1283860.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnt_align8_1sm
BF16,3072,5120,65536,96,uniform,682,683,682.6666666666666,1734240.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,32768,96,uniform,341,342,341.3333333333333,1252160.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_128x256x64_0x0x1_0_tnt_align8_1sm
BF16,5120,1536,65536,96,uniform,682,683,682.6666666666666,1628290.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,32768,96,uniform,341,342,341.3333333333333,1322880.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_128x256x64_1x4x1_0_tnt_align8_1sm
BF16,4096,7168,65536,96,uniform,682,683,682.6666666666666,1735030.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,7168,2048,32768,96,uniform,341,342,341.3333333333333,1240390.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_128x256x64_2x2x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,7168,2048,65536,96,uniform,682,683,682.6666666666666,1663810.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
