dtype,n,k,tokens,exp,dist,min_m,max_m,avg_m,swizzle_size,gflops,kernel
BF16,3072,5120,32768,12,uniform,2730,2731,2730.6666666666665,4,1927620.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,65536,12,uniform,5461,5462,5461.333333333333,4,1974530.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,5120,1536,32768,12,uniform,2730,2731,2730.6666666666665,4,1875620.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,65536,12,uniform,5461,5462,5461.333333333333,4,1928020.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,32768,12,uniform,2730,2731,2730.6666666666665,4,1898010.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,65536,12,uniform,5461,5462,5461.333333333333,4,1965140.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,32768,12,uniform,2730,2731,2730.6666666666665,4,1911240.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,7168,2048,65536,12,uniform,5461,5462,5461.333333333333,4,1954190.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,3072,5120,32768,12,uniform,2730,2731,2730.6666666666665,2,1851490.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,3072,5120,65536,12,uniform,5461,5462,5461.333333333333,2,1912450.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_4x1x1_0_tnt_align8_2sm_epi_tma
BF16,5120,1536,32768,12,uniform,2730,2731,2730.6666666666665,2,1794100.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,5120,1536,65536,12,uniform,5461,5462,5461.333333333333,2,1842510.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_stream_k_2sm_epi_tma
BF16,4096,7168,32768,12,uniform,2730,2731,2730.6666666666665,2,1821750.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x1x1_0_tnt_align8_2sm_epi_tma
BF16,4096,7168,65536,12,uniform,5461,5462,5461.333333333333,2,1871710.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_2x2x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,32768,12,uniform,2730,2731,2730.6666666666665,2,1829150.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_2sm_epi_tma
BF16,7168,2048,65536,12,uniform,5461,5462,5461.333333333333,2,1884070.0,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_bf16_256x256x64_0x0x1_0_tnt_align8_stream_k_2sm_epi_tma
