dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
BS-FP8(E4M3),4096,6144,30720,uniform,1920,1920,1920.0,2792500.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,30720,imbalanced,482,7680,1920.0,2796370.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,61440,uniform,3840,3840,3840.0,2691890.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,61440,imbalanced,968,15360,3840.0,2395150.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,122880,uniform,7680,7680,7680.0,2490560.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,122880,imbalanced,2048,30720,7680.0,2039110.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,245760,uniform,15360,15360,15360.0,2083720.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,245760,imbalanced,3840,61440,15360.0,1903840.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,491520,uniform,30720,30720,30720.0,1890450.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E4M3),4096,6144,491520,imbalanced,8128,122880,30720.0,1666860.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe4m3_ue8m0xe4m3_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
