dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,4096,6144,256,uniform,1,1,1.0,14839.1,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,256,imbalanced,1,1,1.0,14844.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,512,uniform,2,2,2.0,29581.6,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,512,imbalanced,1,8,2.0,29372.1,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,1024,uniform,4,4,4.0,58810.7,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,1024,imbalanced,1,16,4.0,58299.9,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,2048,uniform,8,8,8.0,116486.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,2048,imbalanced,2,32,8.0,118061.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,4096,uniform,16,16,16.0,229589.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,4096,imbalanced,4,64,16.0,234250.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,256,uniform,1,1,1.0,14531.2,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,256,imbalanced,1,1,1.0,14526.2,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,512,uniform,2,2,2.0,28856.5,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,512,imbalanced,1,8,2.0,28957.6,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,1024,uniform,4,4,4.0,57112.2,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,1024,imbalanced,1,16,4.0,56920.2,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,2048,uniform,8,8,8.0,112284.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,2048,imbalanced,2,32,8.0,115059.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,4096,uniform,16,16,16.0,221529.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,4096,imbalanced,4,64,16.0,224292.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
