dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,4096,6144,30720,uniform,120,120,120.0,1569680.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,30720,imbalanced,30,480,120.0,1369910.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,61440,uniform,240,240,240.0,2107260.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,61440,imbalanced,60,960,240.0,1932030.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,122880,uniform,480,480,480.0,2302990.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,122880,imbalanced,120,1920,480.0,2190490.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,245760,uniform,960,960,960.0,2427110.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,245760,imbalanced,240,3840,960.0,2452530.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,491520,uniform,1920,1920,1920.0,2360750.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,491520,imbalanced,480,7680,1920.0,2549730.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,30720,uniform,120,120,120.0,1578060.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,30720,imbalanced,30,480,120.0,1437260.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,61440,uniform,240,240,240.0,2167180.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,61440,imbalanced,60,960,240.0,2000920.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,122880,uniform,480,480,480.0,2357050.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,122880,imbalanced,120,1920,480.0,2310280.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,245760,uniform,960,960,960.0,2360520.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,245760,imbalanced,240,3840,960.0,2465780.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,491520,uniform,1920,1920,1920.0,2288360.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,491520,imbalanced,480,7680,1920.0,2439040.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
