Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,5972688896,4123973910528,690,4.64066,1198.64,888661
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,5972688896,4123973910528,690,4.68346,1187.69,880539
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4362076160,4123973910528,945,4.65139,873.394,886610
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4362076160,4123973910528,945,4.64078,875.391,888638
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,5972688896,4123973910528,690,3.02039,1841.65,1.36538e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,5972688896,4123973910528,690,3.09517,1797.16,1.33239e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,4362076160,4123973910528,945,3.08653,1316.2,1.33612e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,4362076160,4123973910528,945,3.09942,1310.73,1.33056e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,5972688896,4123973910528,690,3.26827,1701.97,1.26182e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,4,false,'[3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1366x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120][3072x1365x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,5972688896,4123973910528,690,3.27864,1696.59,1.25783e+06
