dtype,n,k,tokens,dist,min_m,max_m,avg_m,swizzle,gflops,kernel
BF16,3072,5120,32768,uniform,341,342,341.3333333333333,1,1202180.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,32768,uniform,341,342,341.3333333333333,2,1253910.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,32768,uniform,341,342,341.3333333333333,4,1203130.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,3072,5120,32768,uniform,341,342,341.3333333333333,8,1210420.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,65536,uniform,682,683,682.6666666666666,1,1345350.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,65536,uniform,682,683,682.6666666666666,2,1344370.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,3072,5120,65536,uniform,682,683,682.6666666666666,4,1362420.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,65536,uniform,682,683,682.6666666666666,8,1352620.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,131072,uniform,1365,1366,1365.3333333333333,1,1377640.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,131072,uniform,1365,1366,1365.3333333333333,2,1358100.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,131072,uniform,1365,1366,1365.3333333333333,4,1365380.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,131072,uniform,1365,1366,1365.3333333333333,8,1346340.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,3072,5120,262144,uniform,2730,2731,2730.6666666666665,1,1434410.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,262144,uniform,2730,2731,2730.6666666666665,2,1433940.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,262144,uniform,2730,2731,2730.6666666666665,4,1435220.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,262144,uniform,2730,2731,2730.6666666666665,8,1432160.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,524288,uniform,5461,5462,5461.333333333333,1,1367010.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,524288,uniform,5461,5462,5461.333333333333,2,1362290.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
BF16,3072,5120,524288,uniform,5461,5462,5461.333333333333,4,1361760.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm
BF16,3072,5120,524288,uniform,5461,5462,5461.333333333333,8,1359470.0,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm
