Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,402882560,805437440,1,0.0674448,5563.27,11942.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,402882560,805437440,1,0.0672806,5576.84,11971.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,402882560,805437440,1,0.064393,5826.94,12508.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,402882560,805437440,1,0.064199,5844.54,12545.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,402882560,805437440,1,0.0643622,5829.72,12514.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,402882560,805437440,1,0.0643414,5831.6,12518.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0717254,5231.25,11229.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0717654,5228.33,11223.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,402882560,805437440,1,0.124543,3012.73,6467.16
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,402882560,805437440,1,0.124471,3014.47,6470.88
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,128,16,128,1,1,1,1,1,1,12,4,1,1,128,16,32,100,110,402882560,805437440,1,0.067793,5534.7,11880.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,128,16,128,1,1,1,1,1,1,12,4,1,1,128,16,32,100,110,402882560,805437440,1,0.067895,5526.38,11863
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,128,32,128,1,1,1,1,1,1,10,4,1,1,128,32,32,100,110,402882560,805437440,1,0.0657037,5710.69,12258.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,128,32,128,1,1,1,1,1,1,10,4,1,1,128,32,32,100,110,402882560,805437440,1,0.0656528,5715.12,12268.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144][4096x1x6144]',,tensorop,f32,128,64,128,1,1,1,1,1,1,8,4,1,1,128,64,32,100,110,402882560,805437440,1,0.063871,5874.55,12610.4
