Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,202244096,1611399168,7,0.0379536,4962.76,42457.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,202244096,1611399168,7,0.0379104,4968.41,42505.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,202244096,1611399168,7,0.0368477,5111.71,43731.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,202244096,1611399168,7,0.0368579,5110.29,43719.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,202244096,1611399168,7,0.0367146,5130.24,43889.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,202244096,1611399168,7,0.0366835,5134.58,43927.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0430835,4371.85,37401.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0430429,4375.97,37437.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,202244096,1611399168,7,0.0716432,2629.06,22492
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,202244096,1611399168,7,0.0716138,2630.14,22501.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,128,16,128,1,1,1,1,1,1,12,4,1,1,128,16,32,100,110,202244096,1611399168,7,0.0364992,5160.51,44148.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x4x2048][6144x1x2048][6144x1x2048][6144x3x2048][6144x1x2048][6144x7x2048][6144x1x2048][6144x5x2048][6144x6x2048][6144x1x2048][6144x4x2048][6144x1x2048][6144x8x2048][6144x1x2048][6144x16x2048][6144x4x2048]',,tensorop,f32,128,16,128,1,1,1,1,1,1,12,4,1,1,128,16,32,100,110,202244096,1611399168,7,0.0365504,5153.28,44087
