dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,4096,6144,16,uniform,1,1,1.0,12628.7,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,16,imbalanced,1,1,1.0,12618.4,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,32,uniform,2,2,2.0,25148.3,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,32,imbalanced,1,8,2.0,24976.4,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,64,uniform,4,4,4.0,50199.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,64,imbalanced,1,16,4.0,50417.2,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,128,uniform,8,8,8.0,98818.9,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,128,imbalanced,2,32,8.0,98257.1,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,256,uniform,16,16,16.0,196382.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,256,imbalanced,4,64,16.0,202708.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,16,uniform,1,1,1.0,11545.8,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,16,imbalanced,1,1,1.0,11539.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,32,uniform,2,2,2.0,22956.8,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,32,imbalanced,1,8,2.0,22685.6,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,64,uniform,4,4,4.0,45449.5,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,64,imbalanced,1,16,4.0,45227.4,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,128,uniform,8,8,8.0,88470.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,128,imbalanced,2,32,8.0,89300.7,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,256,uniform,16,16,16.0,175661.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,256,imbalanced,4,64,16.0,171955.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
