Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.15705,1207.62,653138
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.1523,1209.44,654122
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x1x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,2.73592,1393.5,753672
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x1x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,2.73311,1394.93,754447
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x2x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,2.57081,1483,802078
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x2x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,2.56923,1483.91,802570
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.62566,1051.53,568720
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.63402,1049.11,567413
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_4x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.7851,1007.24,544765
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_4x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,8,4,1,1,64,128,16,100,110,4093640704,2061986955264,503,3.78485,1007.3,544800
