Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0698512,5371.61,11530.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0707555,5302.96,11383.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0707933,5300.13,11377.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0718077,5225.26,11216.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0725744,5170.05,11098.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0713462,5259.05,11289.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0701174,5351.22,11487
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0720528,5207.48,11178.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0680298,5515.43,11839.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,402882560,805437440,1,0.0680278,5515.59,11839.8
