Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0416093,4526.74,38726.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0417114,4515.66,38632.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.042183,4465.17,38200.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0422032,4463.04,38181.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0401757,4688.27,40108.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0402371,4681.11,40047.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0402368,4681.15,40047.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0400422,4703.9,40242.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.039039,4824.77,41276.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048][4x6144x2048]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,202244096,1611399168,7,0.0390387,4824.81,41276.9
