dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,4096,6144,16,uniform,1,1,1.0,12661.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,16,imbalanced,1,1,1.0,12657.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,32,uniform,2,2,2.0,25334.5,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,32,imbalanced,1,8,2.0,25358.8,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,64,uniform,4,4,4.0,50587.7,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,64,imbalanced,1,16,4.0,50644.7,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,128,uniform,8,8,8.0,100770.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,128,imbalanced,2,32,8.0,100867.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,256,uniform,16,16,16.0,201346.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,4096,6144,256,imbalanced,4,64,16.0,201832.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,16,uniform,1,1,1.0,10540.4,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,16,imbalanced,1,1,1.0,10500.2,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,32,uniform,2,2,2.0,21013.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,32,imbalanced,1,8,2.0,20985.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,64,uniform,4,4,4.0,41670.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,64,imbalanced,1,16,4.0,41824.8,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,128,uniform,8,8,8.0,83098.1,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,128,imbalanced,2,32,8.0,83160.6,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,256,uniform,16,16,16.0,165760.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
FP8-E4M3,6144,2048,256,imbalanced,4,64,16.0,165542.0,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f3
