Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,3724541952,6187772805120,1661,20.2317,171.451,305845
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x16x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,16,128,1,1,1,1,1,1,22,4,1,1,64,16,32,100,110,3724541952,6187772805120,1661,20.2293,171.472,305882
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,3724541952,6187772805120,1661,10.7141,323.757,577537
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x32x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,32,128,1,1,1,1,1,1,18,4,1,1,64,32,32,100,110,3724541952,6187772805120,1661,10.7143,323.75,577526
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,3724541952,6187772805120,1661,5.83286,594.691,1.06085e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x64x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,64,128,1,1,1,1,1,1,13,4,1,1,64,64,32,100,110,3724541952,6187772805120,1661,5.82326,595.672,1.0626e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,3724541952,6187772805120,1661,4.07308,851.629,1.51919e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,3724541952,6187772805120,1661,4.10468,845.072,1.50749e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,3724541952,6187772805120,1661,3.78077,917.473,1.63665e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:column,fe4m3:column,1,0,invalid,invalid,heuristic,1,false,'[6144x39616x2048][6144x26504x2048][6144x7301x2048][6144x5167x2048][6144x17875x2048][6144x18588x2048][6144x5230x2048][6144x14787x2048][6144x4102x2048][6144x4276x2048][6144x61440x2048][6144x8713x2048][6144x7526x2048][6144x4018x2048][6144x4658x2048][6144x15959x2048]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,3724541952,6187772805120,1661,3.77907,917.885,1.63738e+06
