dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
FP8-E4M3,4096,6144,30720,imbalanced,482,7680,1920.0,2994320.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,61440,imbalanced,968,15360,3840.0,2711950.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,122880,imbalanced,2048,30720,7680.0,2279670.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,245760,imbalanced,3840,61440,15360.0,1794930.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,4096,6144,491520,imbalanced,8128,122880,30720.0,1716110.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,30720,imbalanced,486,7680,1920.0,2790090.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,61440,imbalanced,1041,15360,3840.0,2887870.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,122880,imbalanced,2064,30720,7680.0,2755380.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,245760,imbalanced,4018,61440,15360.0,2276160.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
FP8-E4M3,6144,2048,491520,imbalanced,8954,122880,30720.0,2066030.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf
